"paper","authors","title","position","contribution ID"
"FRX01","P.J. Niedermayer, A.J. Halama, V. Kamerdzhiev, N. Shurkhno, R. Stassen, V.B. Reva, T. Katayama","Recent Developments and Experimental Results From Electron Cooling of a 2.4 GeV/c Proton Beam at COSY",72,1601
"MOA01","Z. Huang, L.J. Dou, N. Khan, J. Li, X.M. Ma, X. Ma, L.J. Mao, R.S. Mao, M.T. Tang, H.B. Wang, W.Q. Wen, J.X. Wu, J.C. Yang, D.Y. Yin, Y.J. Yuan, D. Zhao, X. Zhu, C.Y. Chen, W.L. Ma, S.X. Wang, L.F. Zhu, N.R. Badnell, S. Preval","Dielectronic Recombination of Na-like Kr25+ at the Cooler Storage Ring CSRm",,1582
"MOA02","A.P. Denisov, M.I. Bryzgunov, A.V. Bubley, A.V. Ivanov, V.V. Parkhomchuk, A.A. Putmakov, V.B. Reva","Design of a Compact Electron Gun for the High-Voltage Electron Cooling System of the NICA Collider",18,1561
"MOX01","V.B. Reva, M.I. Bryzgunov, V.V. Parkhomchuk, A.J. Halama, V. Kamerdzhiev, P.J. Niedermayer","COSY Experience of Electron Cooling",1,1381
"MOX02","M. Steck, C. Dimopoulou, R. Hess, R. Joseph, S.A. Litvinov, B. Lorentz, J. Roßbach, D.F.A. Winters","Cooling Aspects for the Deceleration of Highly Charged Ions in the ESR",,1281
"MOY01","W. Höfle, E. Bjorsvik, F. Caspers, R. Louwerse, L. Arnaudon, T. Eriksson, V. R. Myklebust","First Operation for Stochastic Cooling of P-Bars in the CERN AD Using Optical Delay Notch Filter and Plans 2021 Operation",6,1201
"MOY02","K. Aulenbacher, J. Dietrich, W. Klag","Status of the Turbine Driven HV-Generator for a Relativistic Electron Cooler",11,1584
"MOZ01","L.J. Mao, J. Li, H.J. Lu, X.M. Ma, M.T. Tang, X.D. Yang, L.X. Zhao, Y.B. Zhou","The Electron Cooling System for the HIAF Project in China",14,1361
"THA01","N.V. Mityanina, V.M. Petrov, E. Rotov, A.G. Tribendis, I.N. Meshkov, A.O. Sidorin, E. Syresin","Longitudinal Particle Dynamics and Cooling in NICA Collider",64,1121
"THB01","J. Li, Z. Huang, H.J. Lu, X.M. Ma, X. Ma, L.J. Mao, M.T. Tang, H.B. Wang, S.X. Wang, W.Q. Wen, K.M. Yan, J.C. Yang, X.D. Yang, Y.J. Yuan, H.W. Zhao, L.X. Zhao, Y.B. Zhou","Design of an 80 keV Electron Target at the Spectrometry Ring",,1301
"THB02","A.V. Ivanov, M.I. Bryzgunov, V.M. Panasyuk, V.V. Parkhomchuk, V.B. Reva","Simulation of Electron-Optical Systems of Electron Coolers",68,1042
"THX01","V.V. Parkhomchuk, M.I. Bryzgunov, A.V. Bubley, A.P. Denisov, A.D. Goncharov, N.S. Kremnev, V.M. Panasyuk, A.A. Putmakov, S.V. Shiyankov, V.B. Reva","The Status of the Electron Cooling System for the NICA Collider",55,1241
"THX02","I.N. Meshkov, E. Syresin, N.V. Mityanina, A.V. Philippov","Electron Cooling in the NICA Project: Status and Problems",59,1261
"THY01","W.Q. Wen","Laser Cooling of Relativistic Lithium-Like O5+ Ion Beams at the Heavy Ion Storage Ring CSRe",,1441
"THY02","J.X. Wu, Z. Du, X.J. Hu, G. Zhu, F. Caspers, L. Thorndahl","Progress of Stochastic Cooling on SRing of HIAF",,1421
