"paper","authors","title","position","contribution ID"
"FRA01","T.J. Zhang, S. An, T.J. Bian, F.P. Guan, M. Li, S. Pei, C. Wang, F. Wang, Z.G. Yin","A New Solution for Cost Effective, High Average Power (2 GeV, 6 MW) Proton Accelerator and its R&D Activities",335,1201
"FRA02","H. Tsutsui, Y. Kumata, T. Watanabe, M. Hirabayashi, J. Kanakura, T. Miyashita, H. Oda, M. Sano, T. Tachikawa, K. Taki, Y. Arakawa, Y. Ebara, A. Hashimoto, T. Hirayama, N. Kamiguchi, Y. Mikami, H. Mitsubori, T. Morie, H. Murata, H. Ookubo, T. Sakemi, T. Takahashi, T. Tsurudome, J.Y. Yoshida","Current Status of Sumitomo's Superconducting Cyclotron Development for Proton Therapy",342,1581
"FRA03","A. Roth, E.M. Akcoeltekin, O. Boldt, F. Klarner, H. Röcken, T. Stephani, J.C. Wittschen","Energy Reduction of Varian's ProBeam 250 MeV Cyclotron to 226 MeV",346,1631
"FRA04","P.A. Chubunov, A.S. Bychkov, I.V. Kalagin, S.V. Mitrofanov, V.S. Anashin, A.E. Koziukov","Cyclotrons Based Facilities for Single Event Effects Testing of Spacecraft Electronics",350,1865
"FRB01","T. Planche","Designing Cyclotrons and Fixed Field Accelerators From Their Orbits",355,1902
"FRB02","S.V. Mitrofanov, P.Yu. Apel, V. Bashevoy, V. Bekhterev, S.L. Bogomolov, J. Franko, B. Gikal, G.G. Gulbekyan, I.A. Ivanenko, I.V. Kalagin, N.Yu. Kazarinov, V. Mironov, V.A. Semin, V.A. Skuratov, A. Tikhomirov","FLNR JINR Accelerator Complex for Applied Physics Researches: State-of-Art and Future",360,1672
"FRB03","G. Torrisi, L. Allegra, L. Calabretta, A.C. Caruso, G. Costa, G. Gallo, A. Longhitano, L. Neri, D. Rifuggiato","3D Radio Frequency Simulation of the INFN-LNS Superconducting Cyclotron",363,1625
"MOA01","Y. Ishi, Y. Kuriyama, Y. Mori, H. Okita, K. Suga, T. Uesugi, Y. Fuwa","Recent Experimental Results of the Accelerator Driven System with a Sub-Critical Nuclear Reactor (ADS) Program",1,1801
"MOA02","W.Q. Yang, L.J. Mao, L.T. Sun, J.W. Xia, J.C. Yang","Operation Status and Upgrading of Cyclotron in Lanzhou",5,1283
"MOA03","O. Kamalou, P. Delahaye, M. Dubois, A. Savalle","Status Report on GANIL and Upgrade of SPIRAL1",9,1262
"MOB01","O. Kamigaito, T. Dantsuka, M. Fujimaki, N. Fukunishi, H. Hasebe, Y. Higurashi, E. Ikezawa, H. Imao, M. Kidera, M. Komiyama, K. Kumagai, T. Maie, T. Nagatomo, T. Nakagawa, M. Nakamura, T. Nishi, J. Ohnishi, H. Okuno, K. Ozeki, N. Sakamoto, K. Suda, A. Uchiyama, T. Watanabe, Y. Watanabe, K. Yamada, Y.M. Miyake","Recent Progress in RIKEN RI Beam Factory",12,1844
"MOB02","J.L. Conradie, J.K. Abraham, H. Anderson, L.S. Anthony, F. Azaiez, S. Baard, R.A. Bark, A.H. Barnard, P. Beukes, J.I. Broodryk, B. Cornelius, J.C. Cornell, J.G. De Villiers, H. Du Plessis, W. Duckitt, D.T. Fourie, M.E. Hogan, I.H. Kohler, C. Lussi, J. Mira, H.W. Mostert, C. Naidoo, F. Nemulodi, M. Sakieldien, V.F. Spannenberg, G.F. Steyn, N. Stodart, I.L. Strydom, R.W. Thomae, M.J. Van Niekerk, P.A. van Schalkwyk","Progress With a New Radioisotope Production Facility and Construction of Radioactive Beam Facility at iThemba LABS",17,1822
"MOB03","W. Beeckman, S. Antoine, F. Forest, P.J. Jehanno, P. Jivkov, M.J. Leray, X. Milpied, C. Nignol, O. Tasset-Maye, A.G. Popeko, V.K. Utyonkov","GFS-2 - The New Gas-filled Separator for Super-Heavy Elements in JINR. A Guided Walk through the Genesis of the Project from First Thoughts to Completion",,1781
"MOC01","L.T. Sun","Moving the Frontiers of the Production of Intense Beams of Highly Charged Ions With ECR Ion Sources",,1302
"MOC02","D.Z. Xie, L. Phair, D.S. Todd","A Pathway to Accelerate Ion Beams up to 3 GeV with a K140 Cyclotron",120,1421
"MOC03","M. Schneider, J. Grillenberger","Upgrade of the PSI Injector 2 Cyclotron",124,1061
"MOP001","G. Chen, C. Chao, Y. Chen, K.Z. Ding, G. Liu, X.Y. Long, Z. Peng, Y. Song, C. Yu, X. Zhang, Y. Zhao, L. Calabretta, A.C. Caruso, G.A. Karamysheva, G. Shirkov, O. Karamyshev","Design and Commissioning of RF System for SC200 Cyclotron",21,1383
"MOP002","Y. Zhao, G. Chen, L. Calabretta, G.A. Karamysheva, G. Shirkov, O. Karamyshev, S.W. Xu","Recent Progress on Ion Source of SC200 Cyclotron",24,1384
"MOP003","Y. Xu, Y. Chen, K.Z. Ding, X.Y. Huang, J. Li, K. Pei, Y. Song, K. Gu","Optimal Design and Fluid-Solid Coupling Thermal Analysis of SC200  Superconducting Proton Cyclotron Electrostatic Deflector",27,1523
"MOP004","Z. Wu, K.Z. Ding, J. Li, Y. Song, Z. Wang","Beam Dynamics Simulation of the Extraction for a Superconducting Cyclotron SC240",31,1565
"MOP006","S. An, F.P. Guan, P. Huang, L.Y. Ji, M. Li, Y.L. Lv, S.M. Wei, L.P. Wen, H.D. Xie, J.S. Xing, T.J. Zhang, X. Zheng","The Design and Simulation on the Extraction System for CYCIAE-50",35,1640
"MOP007","L.Y. Ji, S. An, F.P. Guan, P. Huang, X.L. Jia, Y.L. Lv, C. Wang, S.L. Wang, T.J. Zhang, X. Zheng","The Design and Calculation on the Injection and Central Region for CYCIAE-50",39,1642
"MOP008","M. Yin, S. An, F.P. Guan, Y.L. Lv, G.F. Pan, F. Wang, S.M. Wei, L.P. Wen, T.J. Zhang, F.Zhu. Zhu","Mechanical Design of Beam Lines for a 230 MeV SC Cyclotron at CIAE",42,1661
"MOP009","J.Y. Wei, X.L. Fu, B. Ji, P.Z. Li, Y.L. Lv, Z.G. Yin, T.J. Zhang","RF System Design for CYCIAE-50",,1663
"MOP010","S.M. Wei, S. An, L.L. Guan, Y.L. Lv","A 50 MeV Proton Beam Line Design",45,1664
"MOP011","L.L. Guan, S. An, T. Cui, P. Huang, X.L. Jia, M. Li, F. Wang, T.J. Zhang","Magnetic Field Measurement and Shimming for a Medical Compact Cyclotron",48,1666
"MOP012","Y. Wang, X.T. Lu, J.Y. Wei, L.P. Wen, Z.G. Yin, T.J. Zhang","A Digital Approach of Beam Phase Measurement and Regulation System",,1667
"MOP013","G. Gallo, L. Allegra, L. Calabretta, A.C. Caruso, G. Costa, E. Messina, M.S. Musumeci, D. Rifuggiato, E. Zappalà","Mechanical Modifications of the Median Plane for the Superconducting Cyclotron Upgrade",51,1481
"MOP014","L. Neri, L. Allegra, L. Calabretta, G. Costa, G. D'Agostino, G. Gallo, D. Rifuggiato, A.D. Russo, G. Torrisi","3D Magnetic Optimization of the New Extraction Channel for the LNS Superconducting Cyclotron",54,1541
"MOP016","A.H. Barnard, J.I. Broodryk, J.L. Conradie, J.G. De Villiers, J. Mira, F. Nemulodi, R.W. Thomae","Vertical Focussing with a Field Gradient Spiral Inflector",58,1741
"MOP017","S.L. Bogomolov, A.A. Efremov, K.I. Kuzmenkov, D.K. Pugachev, Yu. Yazvitsky, J.L. Conradie, D.T. Fourie, N.Y. Kheswa, J. Mira, F. Nemulodi, R.W. Thomae","Research on Metallic Ion Beam Production With Electron Cyclotron Resonance Ion Sources",62,1341
