"paper","authors","title","position","contribution ID"
"FRCOWBS01","K.W. Smolenski, N. Banerjee, A.C. Bartnik, J.A. Crittenden, K.E. Deitrick, C.M. Gulliford, G.H. Hoffstaetter, P. Quigley, J.S. Berg","Initial Commissioning of CBETA",,1357
"FRCOWBS02","S. Seletskiy, Z. Altinbas, D. Bruno, M.R. Costanzo, K.A. Drees, A.V. Fedotov, D.M. Gassner, X. Gu, L.R. Hammons, J. Hock, R.L. Hulsart, P. Inacker, J.P. Jamilkowski, D. Kayran, J. Kewisch, C. Liu, K. Mernick, T.A. Miller, M.G. Minty, M.C. Paniccia, W.E. Pekrul, I. Pinayev, V. Ptitsyn, T.C. Shrey, L. Smart, K.S. Smith, R. Than, P. Thieberger, J.E. Tuozzolo, W. Xu, Z. Zhao","Design and Commissioning Experience with State of the Art MPS for LEReC Accelerator",,1682
"FRCOWBS03","D. Kayran, Z. Altinbas, K.A. Drees, A.V. Fedotov, M. Gaowei, X. Gu, R.L. Hulsart, P. Inacker, J.P. Jamilkowski, Y.C. Jing, J. Kewisch, C. Liu, J. Ma, K. Mernick, T.A. Miller, M.G. Minty, M.C. Paniccia, I. Pinayev, V. Ptitsyn, V. Schoefer, S. Seletskiy, F. Severino, A. Sukhanov, P. Thieberger, J.E. Tuozzolo, E. Wang, G. Wang, H. Zhao, Z. Zhao","Beam Commissioning Experience at Low Energy RHIC Electron Cooler (LEReC)",,1356
"FRCOXBS01","O.A. Shevchenko, E.V. Bykov, S.V. Tararyshkin, Ya.V. Getmanov, S.S. Serednyakov, M.V. Fedin, S.L. Veber","Electronic Modulation of the FEL-Oscillator Radiation Power Driven by ERL",,1343
"FRCOXBS03","F. Schließmann, M. Arnold, M. Dutine, J. Pforr, N. Pietralla, M. Steinhorst","Beam Dynamics Simulations for the Twofold ERL Mode at the S-DALINAC*",,1344
"FRCOXBS04","T. Birke","Status of the Control System for the Energy Recovery Linac bERLinPro at HZB",,1301
"FRCOXBS05","B.C. Kuske, M. McAteer","Adjusting bERLinPro Optics to Commissioning Needs",,1461
"MOCOWBS01","G.H. Hoffstaetter","CBETA, a 4-turn ERL Based on SRF Linacs: Construction and Commissioning",,1641
"MOCOWBS02","T. Miyajima","Compact ERL (cERL), Stable 1 mA Operation with a Small Beam Emittance at KEK",,1761
"MOCOXBS02","M. Arnold, T. Bahlo, M. Dutine, R. Grewe, J.H. Hanten, L.E. Juergensen, J. Pforr, N. Pietralla, F. Schließmann, M. Steinhorst, S. Weih","ERL Operation of S-DALINAC*",,1262
"MOCOXBS03","N.A. Vinokurov","Status of Novosibirsk ERL",,1347
"MOCOXBS04","A. Jankowiak, M. Abo-Bakr, W. Anders, Y. Bergmann, A.B. Büchel, K. Buerkmann-Gehrlein, A. Bundels, P. Echevarria, A. Frahm, H.-W. Glock, F. Glöckner, F. Goebel, B.D.S. Hall, S. Heling, H.-G. Hoberg, C. Kalus, T. Kamps, G. Klemz, J. Knobloch, J. Kolbe, G. Kourkafas, J. Kuehn, J. Kuszynski, A.N. Matveenko, M. McAteer, A. Meseck, R. Mueller, A. Neumann, N. Ohm, F. Pflocksch, L. Pichl, J. Rahn, M.A.H. Schmeisser, O. Schueler, M. Schuster, J. Ullrich, A. Ushakov, J. Voelker","The bERLinPro Project - Status and Perspectives",,1541
"MOCOXBS05","F. Hug, R.G. Heine, D. Simon, T. Stengler, K. Aulenbacher","The MESA ERL Project",,1358
