"paper","authors","title","position","contribution ID"
"FRA01","D. Noelle","FEL Operation at the European XFEL Facility",766,1581
"FRA02","A. Brachmann, M. Dunham, J.F. Schmerge","LCLS-II - Status and Upgrades",772,2178
"FRA03","J. Roensch-Schulenburg, K. Honkavaara, S. Schreiber, R. Treusch, M. Vogt","FLASH - Status and Upgrades",776,1721
"FRA04","Z.T. Zhao","Status of SXFEL Test and User Facilities",,2261
"MOA01","G. Dattoli, C. Pellegrini, M.-E. Couprie","Riding the FEL Instability (Dedicated to Alberto Renieri)",1,2444
"MOA02","E. Allaria, A. Abrami, L. Badano, M. Bossi, F. Capotondi, D. Castronovo, M. Cautero, P. Cinquegrana, I. Cudin, M.B. Danailov, A.A. Demidovich, S. Di Mitri, B. Diviacco, W.M. Fawley, M. Ferianis, L. Foglia, G. Gaio, F. Giacuzzo, L. Giannessi, S. Grulja, F. Iazzourene, G. Kurdi, M. Lonza, N. Mahne, M. Malvestuto, M. Manfredda, C. Masciovecchio, N.S. Mirian, I. Nikolov, G. Penco, E. Principi, L. Raimondi, P. Rebernik Ribic, R. Sauro, C. Scafuri, P. Sigalotti, S. Spampinati, C. Spezzani, L. Sturari, M. Svandrlik, M. Trovo, M. Veronese, D. Vivoda, M. Zaccaria, D. Zangrando, M. Zangrando, D. Garzella, P. Miotti, M. Coreno, V. Grattoni, G. De Ninno, N. Bruchon, T. Tanikawa, G. Penn, F. Frassetto, L. P. Poletto, M.A. Pop, H.-H. Braun, E. Ferrari, E. Prat, S. Reiche, E. Roussel, C. Feng, E. Hemsing, M.-E. Couprie, A. Ghaith, D. Xiang","First Lasing of a Free Electron Laser in the Soft X-Ray Spectral Range with Echo Enabled Harmonic Generation",7,2088
"MOA03","P. Li, T.H. He, M. Li, J. Liu, X. Luo, Q. Pan, L.J. Shan, X. Shen, H. Wang, J. Wang, D. Wu, D.X. Xiao, Y. Xu, L.G. Yan, P. Zhang, K. Zhou, Y. Liu","First Lasing at the CAEP THz FEL Facility",11,1601
"MOA04","M. Scholz","First Lasing at the SASE2 and SASE3 FELs of European XFEL",,1874
"MOA05","Z.T. Zhao, M. Gu, Q. Gu, Y.B. Leng, H.X. Deng, B. Liu, D. Wang, G.P. Fang, L. Yin, M. Zhang","First Lasing at SXFEL",,2524
"MOA06","V. Litvinenko","Commissioning of CW FEL Amplifier for Coherent Electron Cooler",,2623
"MOA07","H.T. Li, Q.K. Jia","Commissioning and First Lasing of the FELiChEM: A New IR and THz FEL Oscillator in China",15,1944
"MOB01","H. Tanaka","Operation Status and Future Perspective of Warm XFEL",,2073
"MOB02","H. Weise","Overview on Future Continuous Wave X-Ray Free Electron Lasers",,1343
"MOC01","D.C. Nguyen, P.M. Anisimov, C.E. Buechler, Q.R. Marksteiner, R.L. Sheffield","Regenerative Amplifier FEL - from IR to X-Rays",20,1842
"MOC02","E. Roussel, E. Ferrari","Microbunching Instability and Laser Heater Usage in Seeded Free-Electron Lasers",,2158
"MOC03","E. Ferrari, E. Roussel","Laser Heater Impact on the Performances of Seeded High Gain FELs",,2194
"MOC04","B.E. Carlsten","Accelerator Challenges for XFELs with Very High X-Ray Energies",,2183
"MOD01","C.-Y. Tsai","Physics of Post-Saturation Tapered FEL Towards Single-Frequency Terawatt Output Power",,1341
"MOD02","J.P. MacArthur","Microbunch Rotation and Coherent Undulator Radiation from a Kicked Electron Beam",,2159
"MOD03","I. Vartaniants","Hanbury Brown and Twiss Interferometry at XFEL Sources",,1381
"MOD04","X. Yang, L. Giannessi, N.S. Mirian","Post-Saturation Dynamics and Superluminal Propagation of a Super-Radiant Spike in a Free-Electrons Laser Amplifier",,2028
"THA01","M.L. Grünbein","Serial Femtosecond Crystallography at MHz XFELs",,1936
"THA02","K.H. Kim, K. Amann-Winkel, A. Nilsson","Searching for the Hypothesized Liquid-Liquid Critical Point in Supercooled Water with X-Ray Free Electron Laser",,1929
"THA03","R. Kato, Y. Honda, H. Kawata, T. Miyajima, N. Nakamura, H. Sakai, M. Shimada, Y. Tanimoto, K. Tsuchiya","IR-FEL Project at the cERL and Future EUV-FEL Lithography",,1864
"THA04","M. Riepp, K. Bagschik, T. Golz, G. Grübel, L. Müller, A. Philippi-Kobs, W.R. Roseker, R. Rysov, N. Stojanovic, M. Walther, F. Capotondi, M. Kiskinova, D. Naumenko, E. Pedersoli, R. Frömter, H.P. Oepen","Ultrafast Magnetisation Dynamics at the Low-Fluence Limit Supported by External Magnetic Fields",574,1995
"THB01","P.M. Anisimov","Using an E-SASE Compression to Suppress Microbunch Instability and Resistive-Wall Wake Effects",,2099
"THB02","A.D. Brynes","Understanding 1D to 3D Coherent Synchrotron Radiation Effects",578,1361
"THB03","E. Prat, M. Aiba, S. Bettoni, P. Craievich, P. Dijkstal, E. Ferrari, R. Ischebeck, F. Loehl, A. Malyzhenkov, G.L. Orlandi, S. Reiche, T. Schietinger","Emittance Measurements and Minimization at SwissFEL",,2005
"THB04","Q. Gu, Z. Wang","Longitudinal Phase Space Study on Injector Beam of High Repetition Rate X-Ray FEL",584,2074
"THD01","V.A. Goryashko, P.M. Salen, G. K. Shamuilov","From Femtosecond to Attosecond Coherent Undulator Pulses",,2087
"THD02","A. Marinelli, P.H. Bucksbaum, E. Champenois, J. Cryan, T.D.C. Driver, J.P. Duris, A.A. Lutman, Z. Zhang, A. Zholents, M. Kling, P. Rosenberger, Z. Huang, J.P. MacArthur, S. Li","Attosecond Pulses from Enhanced SASE at LCLS",,2199
"THD03","S. Tomin, G. Geloni, M. Scholz","FEL Optimization: From Model-Free to Model-Dependent Approaches and ML Prospects",762,1991
"THD04","W. Liu","A Novel Optical Undulator Using Array of Pulse-Front Tilted Laser Beams",,1869
"THP001","N. Golubeva, V. Balandin, W. Decking, L. Froehlich, M. Scholz","Steffen Hard-Edge Model for Quadrupoles with Extended Fringe-Fields at the European XFEL",588,1870
"THP002","M. Scholz, W. Decking, Y. Li","Beam Based Alignment in all Undulator Beamlines at European XFEL",592,2018
"THP003","Ph. Amstutz, M. Vogt","Arbitrary Order Perturbation Theory for a Time-Discrete Model of Micro-Bunching Driven by Longitudinal Space Charge",596,1305
"THP004","Ph. Amstutz, M. Vogt","A Tree-Code for Efficiently Representing and Evolving Exotic Phase Space Densities with Application to Micro-Bunching in FEL-like Beamlines",,1304
"THP005","M. Vogt, K. Honkavaara, J. Roensch-Schulenburg, S. Schreiber, J. Zemella","Refurbishment and Upgrade Plans for FLASH for the Years After 2020",,1301
"THP006","J. Zemella","Optics & Compression Schemes for the FLASH 2020+ Upgrade Program",,1303
