"paper","authors","title","position","contribution ID"
"MOAO01","K.H. Andersen","Science at ESS and MAX IV",,2301
"MOAO02","M. Krupa","Beam Instrumentation and Diagnostics for High Luminosity LHC",1,1541
"MOAO03","L. Torino, N. Benoist, F. Ewald, E. Plouviez, J. Poitou, B. Roche, K.B. Scheidt, F. Taoutaou, F. Uberto","Overview on the Diagnostics for EBS-ESRF",9,2026
"MOBO01","T.A. Miller, Z. Altinbas, D. Bruno, J.C. Brutus, M.R. Costanzo, C. Degen, L. DeSanto, K.A. Drees, A.V. Fedotov, W. Fischer, J.M. Fite, D.M. Gassner, X. Gu, J. Hock, R.L. Hulsart, P. Inacker, J.P. Jamilkowski, D. Kayran, J. Kewisch, C. Liu, K. Mernick, R.J. Michnoff, M.G. Minty, S.K. Nayak, L.K. Nguyen, P. Oddo, R.H. Olsen, M.C. Paniccia, W.E. Pekrul, I. Pinayev, V. Ptitsyn, V. Schoefer, S. Seletskiy, H. Song, A. Sukhanov, P. Thieberger, J.E. Tuozzolo, D. Weiss","Overview of the Beam Instrumentation and Commissioning Results from the BNL Low Energy RHIC Electron Cooling Facility",14,2229
"MOBO02","N. Eddy, D.R. Broemmelsiek, K. Carlson, D.J. Crawford, J.S. Diamond, D.R. Edstrom, B.J. Fellenz, M.A. Ibrahim, J.D. Jarvis, V.A. Lebedev, S. Nagaitsev, J. Ruan, J.K. Santucci, A. Semenov, V.D. Shiltsev, G. Stancari, A. Valishev, D.C. Voy, A. Warner, S. Szustkowski, N. Kuklev, I. Lobach","Beam Instrumentation at the Fermilab IOTA Ring",21,2221
"MOBO03","D. Jimenez-Rey, J. Castellanos, J.M. García, D. Gavela, A. Ibarra, L.M. Martinez, J. Molla, I. Podadera, A. Ros, R. Varela, V. Villamayor, P. Abbon, B. Bolzon, T. Chaminade, J.F. Denis, A. Gaget, J. Marroncle, A. Marqueta, A. Rodríguez Páramo, Y. Carin, H. Dzitko, A. Jokinen, I.M. Moya, P. Cara, L. Bellan, M. Comunian, E. Fagotti, F. Grespan, M. Poggi, F. Scantamburlo, O. Nomen, T. Akagi, K. Kondo, K. Sakamoto, Y. Shimosaki, M. Sugimoto, S. Takahiro","Overview of LIPAc Beam Instrumentation for the Initial Accelerator Commissioning",,1965
"MOBO04","L. Segui, H. Alves, S. Aune, J. Beltramelli, Q. Bertrand, M. Combet, M. Kebbiri, Ph. Legou, O. Maillard, A. Marcel, T. Papaevangelou, A. Dano-Daguze, D. Desforge, F. Gougnaud, T.J. Joannem, C. Lahonde-Hamdoun, Y. Mariette, J. Marroncle, G. Tsiledakis, P. Le Bourlout, V. Nadot, I. Dolenc Kittelmann, T.J. Shea","Characterization and First Beam Loss Detection with One ESS-nBLM System Detector",28,2004
"MOCO01","B. Gao, F.Z. Chen, Y.B. Leng, Y.M. Zhou","Online Touschek Beam Lifetime Measurement Based on the Precise Bunch-By-Bunch Beam Charge Monitor",35,1181
"MOCO02","P. Nenzi, A. Ampollini, G. Bazzano, F. Cardelli, L. Picardi, L. Piersanti, C. Ronsivalle, V. Surrenti, E. Trinca","Development of a Passive Cavity Beam Intensity Monitor for Pulsed Proton Beams for Medical Applications",40,1881
"MOCO03","K. Lasocha, D. Alves","Estimation of Longitudinal Profiles of Ion Bunches in the LHC Using Schottky-Based Diagnostics",44,2163
"MOCO04","G. Schiwietz, J.G. Hwang, M. Koopmans, M. Ries","Overview of Bunch-Resolved Diagnostics for the Future BESSY VSR Electron-Storage Ring",49,1101
"MOPP001","P. Anger, C. Berthe, F. Bucaille, V. Desmezières, C.H. Haquin, C. Jamet, S. Leloir, G. Normand, JC-P. Pacary, S.P.G. Perret-Gatel, A. Savalle","Safety Classified System Using Beam Intensity Monitoring for the Respect of Nuclear Requirements of SPIRAL2 Facility",54,2031
"MOPP002","L. Torino, B. Roche, B. Vedder","Current Per Bunch Distribution Measurement at ESRF",58,1962
"MOPP003","F. Stulle, L. Dupuy, E.T. Touzain, W.A. Barth, P. Forck, M. Miski-Oglu, T. Sieber","Beam Current Measurements with Sub-Microampere Resolution using CWCT and BCM-CW-E",62,1925
