"paper","authors","title","position","contribution ID"
"FRAPP01","H. Durandeau, R. Clot, P. Gontard, S. Tranquille-Marques, Y. Tranquille-Marques","The Laser MegaJoule Facility: Command Control System Status Report",1659,1361
"FRAPP02","M. Cappelli, A. Bagnasco, A. Ibarra","Preliminary Engineering Design of the Central Instrumentation and Control Systems for the IFMIF-DONES Plant",1662,1618
"FRAPP03","Y.L. Zhang, C.P. Chu, W. Gao, F.Q. Guo, Y.C. He, D.P. Jin, M.T. Kang, G. Li, X. Wu, P. Zhu, L. Wang","Status of the CSNS Accelerator Control System",1669,1544
"FRAPP04","D.L. Flath","LCLS-II Science-Instruments Control System, Status and Plans",,1858
"FRAPP05","R. Kammering, B. Beutner, W. Decking, L. Froehlich, O. Hensler, T. Limberg, S.M. Meykopff, M. Scholz, J. Wilgen","Review of Commissioning and First User Operation in Respect to High Level Controls at the European XFEL",1672,1837
"FRAPP06","T. Birke, P. Echevarria, D. Eichel, R. Fleischhauer, J.G. Hwang, G. Klemz, R. Mueller, C. Schröder, E. Suljoti, A. Ushakov, K. Laihem","Status of the Control System for the Energy Recovery Linac bERLinPro at HZB",1676,1384
"FRKPP01","A. M. Barbour","How Data Technology and Computational Power Are Advancing X-Ray Synchrotron Science",,2205
"FRXPP01","F.S. Naase","Workshop Summary Presentation",,2221
"MOAPP01","H. Kaji, A. Akiyama, T. Naito, T.T. Nakamura, J.-I. Odagiri, S. Sasaki, H. Sugimura, Y. Iitsuka, N. Yoshifuji, K. Asano, M. Hirose, T. Aoyama, M. Fujita, Y. Kuroda, T. Nakamura, K. Yoshii","Control System of SuperKEKB",1,1509
"MOAPP02","C.H. Haquin, P. Anger, P.-E. Bernaudin, C. Berthe, F. Bucaille, P. Dolegieviez, C.H. Patard, D. Touchard, A.H. Trudel, Q. Tura","The SPIRAL2 Control System Status Just Before the First Beam",8,1603
"MOAPP03","S.M. Hartman, K.S. White","Control System Plans for SNS Upgrade Projects",12,1847
"MOAPP04","G.K. Brunton, A.I. Barnes, J.R. Castro Morales, M.J. Christensen, J. Dixon, M. Fedorov, M.S. Flegel, R. Lacuata, D.W. Larson, A.P. Ludwigsen, D.G. Mathisen, V.J. Miller Kamm, M. Paul, S.L. Townsend, B.M. Van Wonterghem, S. Weaver, E.F. Wilson","Status of the National Ignition Facility (NIF) Integrated Computer Control and Information Systems",15,1374
"MOBPP01","E. Blanco Vinuela, D. Darvas, V. Molnar","PLCverif Re-engineered: An Open Platform for the Formal Analysis of PLC Programs",21,1677
"MOBPP02","W. Zheng, N. Fu, S. Li, Y. Wang, F.Y. Wu, M. Zhang","Designing a Control System for Large Experimental Devices Using Web Technology",28,1555
"MOBPP03","W. Sliwinski, K. Kaczkowski, W. Zadlo","Fault Tolerant, Scalable Middleware Services Based on Spring Boot, REST, H2 and Infinispan",33,1695
"MOBPP04","L. Andolfato, J. Argomedo, C. Diaz Cano, R. Frahm, T.R. Grudzien, N. Kornweibel, D. Ribeiro Gomes dos Santos, J. Sagatowski, C.M. Silva","The ELT M1 Local Control Software: From Requirements to Implementation",38,1579
"MOBPP05","S. Rubio-Manrique, G. Cuni","Dynamic Control Systems: Advantages and Challenges",46,1680
"MOBPP06","T.D. Gaggstatter, I. Arriagada, P.E. Gigoux, R. Rojas, J. Molgo, F. Ramos","20 Years of World Class Telescope Control Systems Evolution",52,1506
"MOCPL01","K.V.L. Baker, F.A. Akeroyd, D.P. Keymer, T. Löhnert, C. Moreton-Smith, D.E. Oram, J.R. Holt, T. A. Willemsen, K. Woods","IBEX: Beamline Control at ISIS Pulsed Neutron and Muon Source",59,1593
"MOCPL02","R. Mueller, A.F. Balzer, P. Baumgärtel, G. Hartmann, O.-P. Sauer, J. Viefhaus","Modernization of Experimental Data Taking at BESSY II",65,1406
"MOCPL03","M. Guijarro, G. Berruyer, A. Beteva, L. Claustre, T.M. Coutinho [on leave], M.C. Dominguez [on leave], P. Guillou, C. Guilloud, A. Homs, J.M. Meyer, V. Michel [on leave], P. Pancino, E. Papillon, M. Perez, S. Petitdemange, L. Pithan, F. Sever, V. Valls","Beamline Experiments at ESRF with BLISS",70,1552
"MOCPL04","G. Azzopardi, S. Redaelli, B. Salvachua, A. Muscat, G. Valentino","Software Architecture for Automatic LHC Collimator Alignment Using Machine Learning",77,1201
"MOCPL05","A. Mayor, O. Actis, D. Meer, B. Rohrer","Software Framework QAClient for Measurement/Automation In Proton Therapy Centers",85,1405
"MOCPL06","C. Engblom, Y.-M. Abiven, F. Alves, F. Berenguer, T. Bizien, A. Gibert, F. Langlois, A. Lestrade, P. Montaville, J. Pérez","2D-Nano-Ptychography Imaging Results on the SWING Beamline at Synchrotron SOLEIL",90,1532
"MOCPR01","A.A. Wilson, T.M. Cobb, U.K. Pedersen","Graduate Software Engineer Development Program at Diamond Light Source",96,1854
