"paper","authors","title","position","contribution ID"
"FRXPLM1","J. Galambos","Operations Experience of SNS at 1.4MW and Upgrade Plans for Doubling the Beam Power",4380,1315
"FRXPLS1","T. Zolkin","Symplectic Period Three Implies Chaos",,1495
"FRXXPLM1","Q.J. Xu","High Field Superconducting Magnet Program for Accelerators in China",4359,2491
"FRXXPLM2","P. Sunwong, P. Klysubun, T. Phimsen, S. Prawanta, P. Sudmuang","Magnet Design for Siam Photon Source II",4361,2507
"FRXXPLM3","K. Okamura, F. Naito, K. Takayama, K. Fukuda, H. Kitai, K. Sakamoto, T. Kaito, D. Kumamoto, S. Lim, A. Tokuchi","Development of a Pulsed Power Supply Utilizing 13 kV Class SiC-MOSFET",4364,3053
"FRXXPLS1","N. Delerue, D. Auguste, J. Bonis, F. Gauthier, S. Jenzer, A.M. Moutardier","Tests of a 3D Printed BPM with a Stretched Wire and with a Particle Beam",4368,2873
"FRXXPLS2","H. Nishiguchi, Y. Fukao, Y. Igarashi, S. Mihara, M. Moritsu, K. Ueno, P. Sarin, F. Tamura, Y. Hashimoto, R. Muto, M. Tomizawa, Y. Fujii","Extinction Measurement of J-PARC MR with 8 GeV Proton Beam for the New Muon-to-Electron Conversion Search Experiment - COMET",4372,3045
"FRXXPLS3","N. Samadi, X. Shi, L.D. Chapman, L.O. Dallin","Application of a Phase Space Beam Position and Size Monitor for Synchrotron Radiation",4376,1985
"FRYPLM1","H. Chapman","X-ray Imaging: Faster, Smaller and Brighter",,1541
"FRYPLM2","L.A. Gizzi, P. Koester, L. Labate, M. Vannini, Z. Mazzotta, G. Toci, F. Mathieu","Lasers for Novel Accelerators",4385,1474
"FRYPLM3","D. Wang","Overview of Light Source Developments in Asia",,1217
"FRZPLM1","M.J. Boland","Closing",,3944
"FRZPLM2","M. Seidel","IPAC'20 Presentation",,3943
"MOOPLM1","M.J. Boland","Welcome",,3947
"MOPGW001","H.O.C. Duarte, T.M. da Rocha, P.P.S. Freitas, A.R.D. Rodrigues, R.M. Seraphim","Design Review of Bellows RF-Shielding Types and New Concepts for Sirius",53,3063
"MOPGW002","H.O.C. Duarte, A. Barros","Longitudinal Kicker Design for Sirius Light Source",57,3062
"MOPGW003","F.H. de Sá","Collective Instability Studies for Sirius",61,3414
"MOPGW004","Y. Ma, K. Fong, J.J. Keir, D. Kishi, S.R. Koscielniak, D. Lang, R.E. Laxdal, R.S. Sekhon","Microphonics Suppression in ARIEL ACM1 Cryomodule",65,1838
"MOPGW005","S.R. Koscielniak","Space-Charge Potential for Elliptical Beams",69,3741
"MOPGW006","S.R. Koscielniak","Long Range Beam Beam: Towards Faster Computations",72,3740
"MOPGW007","S.R. Koscielniak","Electromagnetic Impulse of Beam Density F(x,y)G(z)",75,3744
"MOPGW008","S.M. White, N. Carmignani, M. Dubrulle, M. Morati, P. Raimondi","Transparent Injection for ESRF-EBS",78,1958
"MOPGW009","S.B. van der Geer, M.J. de Loos","Mesh Optimisation for the Boundary Element Method (BEM) in GPT",,3194
"MOPGW010","A. Bence, L.S. Nadolski, J. Li","First Application of Online Particle Swarm Optimization at SOLEIL",82,3533
"MOPGW011","L. Perrot, R. Ollier","Field-map and Beam Transport Calculations of the Magnetic Separator at ALTO Facility at Orsay",86,1818
"MOPGW012","T. Pugnat, B. Dalena, R. De Maria, V.K.B. Olsen, L. Bonaventura, A. Simona","Study of Fringe Fields Effects from Final Focus Quadrupoles on Beam Based Measured Quantities",90,2339
"MOPGW014","F. Andreas, M. Abo-Bakr, F. Armborst, P. Goslawski","Developing Beam Optics for the BESSY VSR Project",94,2758
"MOPGW015","V. Balandin, N. Golubeva","Notes on Linear Theory of Coupled Particle Beams with Equal Eigenemittances",98,2365
"MOPGW016","V. Balandin, W. Decking, N. Golubeva, M. Scholz","Straightness Correction of Ballistic Trajectories",101,2615
"MOPGW017","T. Boltz, T. Asfour, M. Brosi, E. Bründermann, B. Haerer, P. Kaiser, A.-S. Mueller, C. Pohl, P. Schreiber, M. Yan","Feedback Design for Control of the Micro-Bunching Instability based on Reinforcement Learning",104,2882
"MOPGW018","T. Boltz, M. Brosi, E. Bründermann, B. Haerer, A.-S. Mueller, P. Schönfeldt, P. Schreiber, M. Yan","Perturbation of Synchrotron Motion in the Micro-Bunching Instability",108,2879
"MOPGW019","D. El Khechen, F. Zimmermann, K. Oide","Beam-Beam Blowup Issue After Low Emittance Tuning for FCC-ee",112,1912
"MOPGW020","B.C. Kuske, A. Meseck","Numerical Calculation of Micro Bunching in bERLinPro Due to Space Charge and CSR Effects",116,3301
"MOPGW021","J. Li, J. Feikes, T. Mertens, Y. Petenev, M. Ries, A. Schaelicke","Symplectic Tracking for the Robinson Wiggler",120,2831
"MOPGW022","S.A. Litvinov, M. Steck","Achromatic Isochronous Mode of the ESR at GSI",124,2717
"MOPGW023","S. Reimann, M. Droba, O. Meusel, H. Podlech","An Algorithm for Automated Lattice Design of Transfer Lines",127,1821
"MOPGW024","M. Sapinski, O. Geithner, S. Reimann, P. Schuett, M. Vossberg, B. Walasek-Hoehne, C. Hessler","Measurements of the GSI Transfer Beam Lines Ion Optics",131,2557
"MOPGW025","C.P. Stoll, F. Hug","Beam Breakup Simulations for the Mainz Energy Recovering Superconducting Accelerator MESA",135,1951
"MOPGW026","D.M. Vilsmeier, M. Bai, M. Sapinski","Transfer Line Optics Design Using Machine Learning Techniques",139,3529
"MOPGW027","S. Yamin, R.W. Assmann, U. Dorda, F. Lemery, B. Marchetti, E. Panofski, P.A. Walker","Design Considerations for Permenant Magnetic Quadrupole Triplet for Matching Into Laser Driven Wake Field Acceleration Experiment at SINBAD",143,2007
"MOPGW028","S. Yamin, R.W. Assmann, B. Marchetti","Study for the Alignment of Focusing Solenoid of ARES RF Gun and Effect of Misalignment of Solenoid on Emittance of Space Charge Dominated Electron Beam",147,2006
"MOPGW029","W. Li, Z.H. Bai, W. Li, J.G. Wang, D.R. Xu, Z. Zhao","Preliminary Study of Bunch Compression in the Hefei Light Source",151,2762
"MOPGW030","M. Behtouei, M. Migliorati, L. Palumbo, B. Spataro, L. Faillace","New Analytical Derivation of Group Velocity in TW Accelerating Structures",155,2143
"MOPGW031","K. Hirosawa, Y. Funakoshi, H. Koiso, A. Morita, K. Ohmi, Y. Ohnishi, H. Sugimoto, D. Zhou","Analysis and Correction for the Effect of Multipoles with Skewed Errors  on IP Beam Dynamics in SuperKEKB",159,3265
"MOPGW032","H. Iinuma, Y. Nakazawa, M. Abe, K. Furukawa, H. Hisamatsu, H. Nakayama, S. Ohsawa, K. Sasaki, H. Yamaguchi, T. Mibe, M.A. Rehman","Beam Transport Design for a Strongly X-Y Coupled Muon Beam for the J-PARC g-2/edm Experiment",,2178
"MOPGW035","Y. Shobuda, K. Moriya, J. Kamiya, K. Okabe","Coupling Impedance of the Collimator Without RF-Shields at the RCS in J-PARC",163,2120
"MOPGW036","A. Kobayashi, T. Shimogawa, Y. Sugiyama, T. Toyama, M. Yoshii, S. Igarashi, Y. Sato","Studies on Coherent Multi-Bunch Tune Shifts with Different Bunch Spacing at the J-PARC Main Ring",167,2536
"MOPGW037","P.K. Saha, H. Harada, H. Hotchi, Y. Shobuda, T. Takayanagi, F. Tamura, Y. Watanabe","Dynamic Variation of Chromaticity for Beam Instability Mitigation in the 3-GeV RCS of J-PARC",171,2044
"MOPGW038","O. A. Tanaka, T. Miyajima, N. Nakamura, T. Obina, M. Shimada, Y. Tanimoto","Collimator's  Impact Into the Transverse Emittance Growth at KEK Compact ERL",174,3669
"MOPGW039","N. Yamamoto, A. Gamelin, R. Nagaoka","Investigation of Longitudinal Beam Dynamics With Harmonic Cavities by Using the Code Mbtrack",178,2135
"MOPGW040","B. Yee-Rendon, Y. Kondo, S.I. Meigo, J. Tamura, F.M. Maekawa","Beam Optics Design of the Superconducting Region of the JAEA ADS",181,1843
"MOPGW041","Y. Yuri, T. Yuyama, M. Fukuda","Transverse Profile Shaping of a Charged-Particle Beam using Multipole Magnets - Formation of Hollow Beams -",184,1887
"MOPGW042","M.H. Almalki, A.O. Alrashdi, M.P. Dehnel, T.M. Stewart, A. Alabdulsalam, S.M. Alshammari, A.S. Jabr","Ion Optical Calculations of High Resolution Analyzing Magnet System for Heavy Molecular Ions at KACST",,3757
